,0,1
629,亂,36
630,回家,36
631,報名,36
632,下面,36
633,廢,36
634,戀人,36
635,數學,36
636,汪汪,36
637,電資,35
638,不爽,35
639,意見,35
640,久,35
641,保護,35
642,爛,35
643,狀況,35
644,名額,35
645,排名,35
646,馬,35
647,二手,35
648,愛滋,35
649,以為,35
650,弄,35
651,機率,35
652,抽籤,35
653,回覆,34
654,圖書館,34
655,甲甲,34
656,妹妹,34
657,理解,34
658,字,34
659,轉,34
660,道,34
661,女森,34
662,假,34
663,登記,34
664,一句,34
665,實在,34
666,狗狗,34
667,隻,34
668,下學期,34
669,上網,34
670,理由,34
671,歧視,34
672,楊,34
673,機械,34
674,中文系,34
675,黑,34
676,四年,34
677,台南人,33
678,他媽,33
679,校內,33
680,加入,33
681,可惜,33
682,超過,33
683,工具,33
684,現實,33
685,費,33
686,病,33
687,三個,33
688,檢舉,33
689,齁,33
690,反同,33
691,補,33
692,跳,33
693,空間,33
694,網路上,33
695,退,33
696,幫助,33
697,嗆,33
698,裸照,33
699,失敗,32
700,事實,32
701,要說,32
702,一張,32
703,電腦,32
704,還能,32
705,出國,32
706,賺,32
707,路上,32
708,電機系,32
709,我還,32
710,排,32
711,哭,32
712,期待,32
713,提供,32
714,有趣,32
715,屁事,32
716,這件,32
717,統計,32
718,禮拜,32
719,爸爸,32
720,正名,32
721,成大版,32
722,刷,32
723,好看,31
724,腿,31
725,次,31
726,甲,31
727,聲音,31
728,吵,31
729,出門,31
730,對方,31
731,很難,31
732,甜,31
733,好玩,31
734,吃飯,31
735,動物,31
736,經濟,31
737,校園,31
738,類似,31
739,幾次,31
740,有時候,31
741,哈哈哈哈,31
742,回去,31
743,詳細,31
744,影片,31
745,普化,31
746,基礎,31
747,去問,30
748,梗,30
749,小東,30
750,我媽,30
751,分鐘,30
752,熱門,30
753,學習,30
754,不在,30
755,智障,30
756,地點,30
757,提到,30
758,看不懂,30
759,感恩,30
760,明年,30
761,法律系,30
762,沒人,30
763,入學,30
764,很大,30
765,軍訓,30
766,核廢料,30
767,地停,30
768,浪費,30
769,難過,30
770,一半,30
771,放生,30
772,歷史,30
773,臺南,30
774,大學生,29
775,街,29
776,早上,29
777,考上,29
778,學歷,29
779,心情,29
780,其他人,29
781,結束,29
782,閉嘴,29
783,領域,29
784,好笑,29
785,洨,29
786,故事,29
787,釣魚,29
788,手,29
789,混血,29
790,搭訕,29
791,圖,29
792,害,29
793,學到,29
794,天,29
795,當時,29
796,名單,29
797,可撥,29
798,花,29
799,核養,29
800,工科,29
801,化妝,29
802,粉專,29
803,不太,29
804,痛苦,29
805,淹水,29
806,統一,29
807,議題,28
808,同婚,28
809,左右,28
810,拿來,28
811,尼,28
812,必要,28
813,肛門,28
814,做愛,28
815,喵,28
816,自以,28
817,慢慢,28
818,衣櫃,28
819,養,28
820,負責,28
821,不算,28
822,雙,28
823,掰,28
824,運動,28
825,涼,28
